nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,films_tv_participated,tconst_x,averageRating,numVotes,tconst_y,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,Biography,Horror,Music,Thriller,Family,Drama,\N,Romance,Comedy,Fantasy,Sci-Fi,Crime,Documentary,Sport,Musical,Animation,Western,Mystery,History,Action,Adventure,War
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0087800,tt0087800,7.4,258287,tt0087800,movie,A Nightmare on Elm Street,A Nightmare on Elm Street,0,1984,\N,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0089839,tt0089839,5.2,9060,tt0089839,movie,Private Resort,Private Resort,0,1985,\N,82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0099329,tt0099329,6.5,63939,tt0099329,movie,Cry-Baby,Cry-Baby,0,1990,\N,85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0099487,tt0099487,7.9,515557,tt0099487,movie,Edward Scissorhands,Edward Scissorhands,0,1990,\N,105,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0106307,tt0106307,7.2,45213,tt0106307,movie,Arizona Dream,Arizona Dream,0,1993,\N,142,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0106387,tt0106387,7.1,61195,tt0106387,movie,Benny & Joon,Benny & Joon,0,1993,\N,98,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0108550,tt0108550,7.7,250202,tt0108550,movie,What's Eating Gilbert Grape,What's Eating Gilbert Grape,0,1993,\N,118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0109707,tt0109707,7.8,182302,tt0109707,movie,Ed Wood,Ed Wood,0,1994,\N,127,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0112817,tt0112817,7.5,101883,tt0112817,movie,Dead Man,Dead Man,0,1995,\N,121,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0112883,tt0112883,6.7,52785,tt0112883,movie,Don Juan DeMarco,Don Juan DeMarco,0,1994,\N,97,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0113972,tt0113972,6.3,44686,tt0113972,movie,Nick of Time,Nick of Time,0,1995,\N,90,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0118768,tt0118768,6.1,10695,tt0118768,movie,The Brave,The Brave,0,1997,\N,123,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0119008,tt0119008,7.7,326256,tt0119008,movie,Donnie Brasco,Donnie Brasco,0,1997,\N,127,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0120669,tt0120669,7.5,297579,tt0120669,movie,Fear and Loathing in Las Vegas,Fear and Loathing in Las Vegas,0,1998,\N,118,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0120681,tt0120681,6.7,162598,tt0120681,movie,From Hell,From Hell,0,2001,\N,122,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0121164,tt0121164,7.4,294132,tt0121164,movie,Corpse Bride,Corpse Bride,0,2005,\N,77,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0138304,tt0138304,5.4,57039,tt0138304,movie,The Astronaut's Wife,The Astronaut's Wife,0,1999,\N,109,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0142688,tt0142688,6.7,194571,tt0142688,movie,The Ninth Gate,The Ninth Gate,0,1999,\N,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0162661,tt0162661,7.3,379232,tt0162661,movie,Sleepy Hollow,Sleepy Hollow,0,1999,\N,105,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0181833,tt0181833,7.2,839,tt0181833,movie,The Source,The Source: The Story of the Beats and the Beat Generation,0,1999,\N,88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0221027,tt0221027,7.5,271772,tt0221027,movie,Blow,Blow,0,2001,\N,124,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0241303,tt0241303,7.3,199334,tt0241303,movie,Chocolat,Chocolat,0,2000,\N,121,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0247196,tt0247196,7.1,26163,tt0247196,movie,Before Night Falls,Before Night Falls,0,2000,\N,133,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0285823,tt0285823,6.3,168053,tt0285823,movie,Once Upon a Time in Mexico,Once Upon a Time in Mexico,0,2003,\N,102,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0308644,tt0308644,7.7,210809,tt0308644,movie,Finding Neverland,Finding Neverland,0,2004,\N,106,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0325980,tt0325980,8.1,1186432,tt0325980,movie,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,0,2003,\N,143,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0363988,tt0363988,6.5,206942,tt0363988,movie,Secret Window,Secret Window,0,2004,\N,96,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0367594,tt0367594,6.7,513266,tt0367594,movie,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,0,2005,\N,115,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0375920,tt0375920,6.2,37479,tt0375920,movie,The Libertine,The Libertine,0,2004,\N,114,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0376136,tt0376136,6.1,107450,tt0376136,movie,The Rum Diary,The Rum Diary,0,2011,\N,119,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0381270,tt0381270,6.4,5406,tt0381270,movie,Happily Ever After,Ils se marièrent et eurent beaucoup d'enfants,0,2004,\N,100,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0383574,tt0383574,7.4,754440,tt0383574,movie,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,0,2006,\N,151,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0408236,tt0408236,7.3,382691,tt0408236,movie,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,0,2007,\N,116,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0449088,tt0449088,7.1,681989,tt0449088,movie,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,0,2007,\N,169,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt1014759,tt1014759,6.4,434586,tt1014759,movie,Alice in Wonderland,Alice in Wonderland,0,2010,\N,108,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt1077368,tt1077368,6.2,277425,tt1077368,movie,Dark Shadows,Dark Shadows,0,2012,\N,113,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt1152836,tt1152836,7.0,315023,tt1152836,movie,Public Enemies,Public Enemies,0,2009,\N,140,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt1192628,tt1192628,7.3,287706,tt1192628,movie,Rango,Rango,0,2011,\N,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt1210819,tt1210819,6.4,242339,tt1210819,movie,The Lone Ranger,The Lone Ranger,0,2013,\N,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt1243957,tt1243957,6.0,253432,tt1243957,movie,The Tourist,The Tourist,0,2010,\N,103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt1298650,tt1298650,6.6,554480,tt1298650,movie,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,0,2011,\N,137,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt1333667,tt1333667,7.6,10184,tt1333667,movie,When You're Strange,When You're Strange,0,2009,\N,86,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt1355683,tt1355683,6.9,189980,tt1355683,movie,Black Mass,Black Mass,0,2015,\N,123,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt17277414,tt17277414,6.7,8381,tt17277414,movie,Jeanne du Barry,Jeanne du Barry,0,2023,\N,113,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt1790809,tt1790809,6.5,337006,tt1790809,movie,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,0,2017,\N,129,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt2209764,tt2209764,6.2,236756,tt2209764,movie,Transcendence,Transcendence,0,2014,\N,119,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt2296777,tt2296777,5.2,13734,tt2296777,movie,Sherlock Gnomes,Sherlock Gnomes,0,2018,\N,86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt2567026,tt2567026,6.2,119271,tt2567026,movie,Alice Through the Looking Glass,Alice Through the Looking Glass,0,2016,\N,113,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt2677722,tt2677722,6.5,18308,tt2677722,movie,City of Lies,City of Lies,0,2018,\N,112,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt3045616,tt3045616,5.5,76058,tt3045616,movie,Mortdecai,Mortdecai,0,2015,\N,107,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt3838992,tt3838992,4.3,15238,tt3838992,movie,Yoga Hosers,Yoga Hosers,0,2016,\N,88,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt4123430,tt4123430,6.5,302454,tt4123430,movie,Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,0,2018,\N,134,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt6149154,tt6149154,5.9,14181,tt6149154,movie,Waiting for the Barbarians,Waiting for the Barbarians,0,2019,\N,112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt6865690,tt6865690,6.7,36059,tt6865690,movie,The Professor,The Professor,0,2018,\N,90,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt7604980,tt7604980,7.4,634,tt7604980,movie,Rolling Stone: Stories from the Edge,Rolling Stone: Stories from the Edge,0,2017,\N,240,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt9179096,tt9179096,7.2,22436,tt9179096,movie,Minamata,Minamata,0,2020,\N,115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0083987,tt0083987,8.0,238386,tt0083987,movie,Gandhi,Gandhi,0,1982,\N,191,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0085234,tt0085234,6.9,1718,tt0085234,movie,Betrayal,Betrayal,0,1983,\N,95,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0089256,tt0089256,4.7,792,tt0089256,movie,Harem,Harem,0,1985,\N,113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0090219,tt0090219,6.8,819,tt0090219,movie,Turtle Diary,Turtle Diary,0,1985,\N,97,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0095827,tt0095827,6.7,1451,tt0095827,movie,Pascali's Island,Pascali's Island,0,1988,\N,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0096250,tt0096250,7.0,282,tt0096250,movie,Testimony,Testimony,0,1987,\N,157,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0096454,tt0096454,6.9,10962,tt0096454,movie,Without a Clue,Without a Clue,0,1988,\N,107,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0099255,tt0099255,6.6,125,tt0099255,movie,The Children,The Children,0,1990,\N,115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0099568,tt0099568,5.1,138,tt0099568,movie,O Quinto Macaco,O Quinto Macaco,0,1990,\N,95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0100878,tt0100878,7.4,122,tt0100878,movie,Cellini: A Violent Life,Una vita scellerata,0,1990,\N,118,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0101337,tt0101337,5.3,76,tt0101337,movie,L'amore necessario,L'amore necessario,0,1991,\N,90,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0101516,tt0101516,6.8,30577,tt0101516,movie,Bugsy,Bugsy,0,1991,\N,136,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0104298,tt0104298,5.2,799,tt0104298,movie,Freddie as F.R.O.7.,Freddie as F.R.O.7.,0,1992,\N,91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0108052,tt0108052,9.0,1422164,tt0108052,movie,Schindler's List,Schindler's List,0,1993,\N,195,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0108065,tt0108065,7.4,41831,tt0108065,movie,Searching for Bobby Fischer,Searching for Bobby Fischer,0,1993,\N,109,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0109579,tt0109579,7.2,26355,tt0109579,movie,Death and the Maiden,Death and the Maiden,0,1994,\N,103,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0110341,tt0110341,6.9,116,tt0110341,movie,Liberation,Liberation,0,1994,\N,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0114508,tt0114508,5.9,84167,tt0114508,movie,Species,Species,0,1995,\N,108,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0118647,tt0118647,6.8,9862,tt0118647,movie,The Assignment,The Assignment,0,1997,\N,119,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0119893,tt0119893,6.8,2827,tt0119893,movie,Photographing Fairies,Photographing Fairies,0,1997,\N,106,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0128137,tt0128137,6.0,2729,tt0128137,movie,The Confession,The Confession,0,1999,\N,114,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0160797,tt0160797,6.4,49842,tt0160797,movie,Rules of Engagement,Rules of Engagement,0,2000,\N,128,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0160905,tt0160905,5.1,629,tt0160905,movie,Spooky House,Spooky House,0,2001,\N,106,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0167456,tt0167456,4.3,14354,tt0167456,movie,Thunderbirds,Thunderbirds,0,2004,\N,95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0203119,tt0203119,7.3,65449,tt0203119,movie,Sexy Beast,Sexy Beast,0,2000,\N,89,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0221186,tt0221186,8.1,60,tt0221186,movie,A Force More Powerful,A Force More Powerful,0,1999,\N,110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0223898,tt0223898,6.9,51,tt0223898,movie,Peace Is Every Step: Meditation in Action: The Life and Work of Thich Nhat Hanh,Peace Is Every Step: Meditation in Action: The Life and Work of Thich Nhat Hanh,0,1998,\N,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0253840,tt0253840,5.8,1623,tt0253840,movie,The Triumph of Love,The Triumph of Love,0,2001,\N,112,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0309720,tt0309720,7.9,757,tt0309720,movie,Islam: Empire of Faith,Islam: Empire of Faith,0,2000,\N,160,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer","tt0083987,tt0108052,tt0203119,tt1300854",tt0315983,tt0315983,7.5,71558,tt0315983,movie,House of Sand and Fog,House of Sand and Fog,0,2003,\N,126,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
